date,ts,wp,hi,lo,open
2016-12-02,1480636800.0,768.2309176759591,780.0,753.53,754.0
2016-01-09,1452297600.0,452.01530849877065,456.0,447.66,454.41
2016-01-11,1452470400.0,448.9765461888612,452.65,445.88,449.99
2015-12-13,1449964800.0,436.27732705531156,443.83,419.42,436.9
2015-09-27,1443312000.0,234.04569326290928,235.03,233.2,234.67
2015-12-22,1450742400.0,437.2144972408613,442.0,432.58,436.85
2016-12-25,1482624000.0,872.9616820271586,897.4,851.11,891.59
2017-02-01,1485907200.0,975.5240040485135,992.75,963.84,970.01
2017-04-19,1492560000.0,1201.3548042938176,1215.32,1191.09,1201.88
2016-12-22,1482364800.0,856.0684976405773,875.75,832.38,834.15
2017-01-20,1484870400.0,898.484927061009,904.59,890.0,902.92
2017-01-23,1485129600.0,923.424391390577,931.33,910.63,929.45
2016-09-18,1474156800.0,609.0674047160068,611.93,607.22,607.92
2016-11-13,1478995200.0,697.1627147023953,705.94,685.7,704.63
2017-11-05,1509840000.0,7487.760526900067,7630.0,7310.0,7412.35
2015-06-03,1433289600.0,225.98112181048597,227.45,223.82,225.83
2017-08-24,1503532800.0,4197.630733642911,4349.99,4112.76,4142.5
2017-04-27,1493251200.0,1324.2653799775012,1360.0,1295.39,1297.56
2015-05-24,1432425600.0,240.11565658609027,242.0,238.27,239.38
2015-09-29,1443484800.0,238.7487207628336,241.05,236.65,239.96
2016-05-03,1462233600.0,448.72491962517364,453.29,443.61,446.53
2017-03-24,1490313600.0,992.0579707143593,1030.3,920.1,1025.13
2017-02-19,1487462400.0,1059.4601351436104,1067.78,1051.26,1062.14
2016-09-27,1474934400.0,605.1351837338335,607.54,601.38,607.04
2017-06-04,1496534400.0,2518.90232025285,2556.1,2469.98,2548.3
2017-10-03,1506988800.0,4317.456702927914,4419.95,4242.42,4392.71
2015-10-16,1444953600.0,260.29129428514597,267.6,254.86,254.98
2017-06-08,1496880000.0,2749.8870692481246,2808.78,2611.41,2690.02
2015-08-15,1439596800.0,266.3767372720565,267.69,261.77,266.21
2015-05-26,1432598400.0,237.56238876968735,238.34,235.81,237.39
2015-11-16,1447632000.0,323.8646205284998,334.1,316.12,322.94
2018-01-03,1514937600.0,14989.939349795839,15400.0,14628.0,14781.52
2015-11-08,1446940800.0,383.12604474664573,389.0,363.58,384.8
2017-03-12,1489276800.0,1206.4574263571526,1244.0,1150.0,1188.11
2015-11-10,1447113600.0,365.45113639613885,382.23,322.0,379.55
2016-11-19,1479513600.0,748.5958485975342,752.3,738.0,748.55
2017-03-09,1489017600.0,1179.8722136092404,1214.95,1131.11,1150.22
2015-11-18,1447804800.0,334.3568317182985,338.0,330.0,336.49
2015-09-23,1442966400.0,231.11545836787414,233.0,229.27,231.31
2016-07-07,1467849600.0,645.5511351378065,683.44,611.94,678.79
2016-01-01,1451606400.0,433.2625462975065,437.15,427.92,430.35
2016-07-08,1467936000.0,649.8014584787715,667.33,638.04,641.97
2015-05-07,1430956800.0,232.5324754411528,239.18,228.67,230.0
2016-12-30,1483056000.0,955.9452773063252,970.51,930.3,970.51
2017-02-14,1487030400.0,1008.4870122468102,1018.97,992.27,1002.88
2016-07-24,1469318400.0,659.3528440980053,666.37,655.01,657.68
2016-07-05,1467676800.0,673.9053939140487,682.37,662.51,681.98
2017-01-08,1483833600.0,924.5336054401241,953.8,899.16,908.99
2015-10-01,1443657600.0,238.08121217179857,239.86,236.9,237.1
2016-12-26,1482710400.0,899.5977371076955,908.24,890.0,895.94
2015-06-13,1434153600.0,230.74362312565253,233.49,228.79,229.21
2016-06-22,1466553600.0,654.2766238431182,679.99,568.11,667.88
2015-10-28,1445990400.0,301.98485737262524,308.93,295.65,295.68
2016-10-10,1476057600.0,617.6597694925479,619.2,615.46,617.43
2017-10-15,1508025600.0,5632.548732432015,5849.83,5455.5,5819.13
2016-02-19,1455840000.0,419.54361024073694,422.0,416.0,421.18
2016-11-30,1480464000.0,737.9621786132213,745.0,729.17,732.44
2016-10-11,1476144000.0,632.0168767662216,647.03,618.13,618.72
2016-02-10,1455062400.0,376.115031861715,383.34,371.87,372.76
2017-10-24,1508803200.0,5674.074911261176,5906.0,5462.19,5906.0
2017-09-29,1506643200.0,4142.877183274579,4212.99,4015.17,4189.42
2016-09-29,1475107200.0,605.502438433513,606.89,603.56,604.96
2015-06-07,1433635200.0,224.7132136624104,226.09,222.88,225.48
2016-04-24,1461456000.0,459.1540842187161,465.0,454.55,455.68
2015-07-20,1437350400.0,277.54354778922135,280.0,273.34,275.6
2016-03-12,1457740800.0,413.7212812318962,421.3,406.52,419.48
2016-04-06,1459900800.0,422.0406281488753,423.0,420.61,422.4
2015-04-27,1430092800.0,222.16738192294483,231.11,218.78,221.27
2017-10-11,1507680000.0,4793.732466142217,4869.97,4720.21,4750.0
2017-03-01,1488326400.0,1210.4443379647896,1230.0,1085.71,1197.95
2017-12-05,1512432000.0,11722.236140952775,11875.0,11532.0,11643.99
2017-11-01,1509494400.0,6517.388225413057,6783.69,6363.59,6445.01
2015-08-22,1440201600.0,230.61698853468718,235.53,222.68,232.85
2015-10-10,1444435200.0,245.11993529958923,246.1,243.8,244.44
2017-05-01,1493596800.0,1425.4102184554865,1466.69,1370.98,1384.55
2015-12-06,1449360000.0,392.05703402113227,401.01,375.22,388.03
2015-06-23,1435017600.0,245.30621479265997,248.06,243.01,247.48
2016-02-27,1456531200.0,432.0953845518469,434.97,430.14,430.84
2017-04-16,1492300800.0,1182.577566714096,1189.93,1171.7,1178.84
2017-03-22,1490140800.0,1051.5564420109583,1114.96,985.17,1114.42
2017-09-07,1504742400.0,4590.223332336043,4665.44,4475.01,4616.18
2016-06-19,1466294400.0,759.1296475382031,771.92,744.77,759.0
2015-05-25,1432512000.0,238.84140089806218,241.4,236.71,240.68
2017-04-20,1492646400.0,1225.3170154831232,1240.6,1212.01,1214.22
2017-02-28,1488240000.0,1195.7299298294392,1214.94,1179.64,1195.84
2017-03-10,1489104000.0,1208.302592995199,1360.0,956.85,1197.3
2016-05-29,1464480000.0,521.7947945965002,549.99,492.35,523.35
2015-08-18,1439856000.0,254.1040008432018,258.04,200.0,257.56
2017-08-04,1501804800.0,2824.7026842506225,2877.79,2760.0,2787.05
2017-04-13,1492041600.0,1189.1428674988197,1219.49,1148.98,1214.68
2017-09-08,1504828800.0,4500.618679821938,4679.99,4140.0,4624.18
2016-04-22,1461283200.0,448.3260150108749,452.95,445.07,452.25
2015-06-14,1434240000.0,233.86743308912216,235.0,232.53,233.49
2016-03-07,1457308800.0,407.3793341178741,418.74,395.0,403.24
2016-04-01,1459468800.0,416.267983620806,417.68,414.12,416.03
2016-04-11,1460332800.0,422.60345343204085,424.0,420.15,423.29
2016-02-05,1454630400.0,385.9437038312148,389.36,382.99,387.99
2016-06-16,1466035200.0,743.141584813035,777.68,698.76,698.76
2017-11-19,1511049600.0,7839.763236892988,8098.62,7700.0,7777.01
2017-09-24,1506211200.0,3698.7680805544396,3789.36,3630.01,3787.33
2016-08-22,1471824000.0,582.5532747274092,586.99,579.22,581.34
2017-03-27,1490572800.0,1001.9318066712083,1045.9,961.1,973.97
2017-07-01,1498867200.0,2459.0429897967356,2515.0,2400.0,2455.19
2017-12-27,1514332800.0,15654.231758575685,16490.0,14524.37,15790.88
2016-01-02,1451692800.0,435.05766365780596,437.56,432.41,435.67
2016-09-02,1472774400.0,573.3758933812845,577.97,570.0,572.94
2017-09-18,1505692800.0,3954.1002656035375,4130.0,3717.56,3719.98
2015-12-10,1449705600.0,415.39818259403415,419.5,408.0,418.39
2015-11-06,1446768000.0,372.71337633158976,395.0,351.0,387.21
2017-06-29,1498694400.0,2557.613205603617,2591.98,2506.1,2553.13
2017-02-04,1486166400.0,1019.4381157328503,1044.12,1001.8,1018.48
2016-06-23,1466640000.0,597.4964333751395,637.89,544.13,606.13
2016-03-28,1459123200.0,422.7595066817912,425.36,419.63,425.29
2015-05-06,1430870400.0,234.9434569727431,237.87,228.38,236.76
2016-08-28,1472342400.0,572.3726923133527,575.41,569.65,570.83
2016-11-01,1477958400.0,721.4909410037706,737.5,695.74,697.07
2015-12-16,1450224000.0,455.3851326787157,464.73,440.0,464.5
2015-11-29,1448755200.0,360.5464048321179,373.63,354.26,357.24
2017-05-18,1495065600.0,1836.7329455207657,1900.0,1800.0,1813.23
2016-10-05,1475625600.0,611.6735919108675,614.24,609.22,610.33
2017-02-24,1487894400.0,1187.5802001268062,1221.93,1103.32,1185.81
2017-01-18,1484697600.0,889.2137123817643,916.7,850.0,906.09
2017-03-14,1489449600.0,1247.2507700043097,1262.0,1213.55,1245.5
2015-05-13,1431475200.0,242.7650843168472,244.13,235.54,242.04
2017-05-05,1493942400.0,1590.879073442915,1630.0,1535.11,1561.47
2016-07-20,1468972800.0,670.9198210291543,674.99,664.6,673.98
2015-12-12,1449878400.0,433.10345530993834,469.34,403.0,452.95
2015-10-08,1444262400.0,244.38565713890276,245.38,242.2,243.98
2017-12-02,1512172800.0,10956.358978168053,11100.0,10701.0,10869.85
2017-08-11,1502409600.0,3516.6811258395805,3725.0,3416.86,3444.98
2015-07-02,1435795200.0,257.1336110432154,262.0,253.0,258.96
2016-02-20,1455926400.0,431.12615582288885,444.03,420.09,420.72
2015-10-21,1445385600.0,269.1911788010894,272.85,265.0,271.16
2016-11-15,1479168000.0,710.9771280964516,716.3,671.23,708.4
2015-10-05,1444003200.0,239.43072464194475,240.98,237.5,239.87
2017-11-25,1511568000.0,8498.814722859179,8795.5,8203.98,8215.01
2016-10-30,1477785600.0,707.4555264255554,714.98,692.04,714.28
2016-03-14,1457913600.0,413.68740342274276,415.84,411.61,412.51
2017-12-04,1512345600.0,11395.413726918716,11650.0,10950.0,11290.0
2017-10-25,1508889600.0,5557.35797483153,5765.0,5376.71,5525.43
2017-09-17,1505606400.0,3670.2168738893743,3841.0,3475.64,3726.51
2016-05-25,1464134400.0,449.9044571259297,452.42,446.86,446.98
2016-12-21,1482278400.0,814.638386533216,834.5,798.88,798.98
2017-12-25,1514160000.0,14188.096053820145,14774.0,13500.0,14221.93
2016-06-28,1467072000.0,651.874280732625,663.53,638.0,657.86
2015-09-04,1441324800.0,229.89229838875727,232.49,227.24,227.24
2017-08-18,1503014400.0,4231.288241393264,4350.0,3960.47,4280.01
2017-01-04,1483488000.0,1082.8140998935412,1147.0,1018.0,1020.69
2015-04-28,1430179200.0,225.42049885758303,229.04,220.46,227.38
2017-02-20,1487548800.0,1062.7539728726406,1095.0,1051.36,1059.88
2015-10-25,1445731200.0,290.23921479150755,295.93,283.28,284.29
2017-02-26,1488067200.0,1165.3842593634015,1187.33,1130.88,1157.98
